dcode,dname,area,dev_reg,eco_belt,yearcode,crop_name,apaddy,ppaddy,ypaddy
22,Dolakha,2191,central,mountain,2012/2013,paddy,3150,5625,1786
22,Dolakha,2191,central,mountain,2013/2014,paddy,3175,5874,1850
22,Dolakha,2191,central,mountain,2014/2015,paddy,3180,6996,2200
23,Sindhupalchok,2542,central,mountain,2000/2001,paddy,10530,26450,2512
23,Sindhupalchok,2542,central,mountain,2001/2002,paddy,10662,24580,2305
23,Sindhupalchok,2542,central,mountain,2002/2003,paddy,10627,25690,2417
23,Sindhupalchok,2542,central,mountain,2003/2004,paddy,10627,25690,2417
23,Sindhupalchok,2542,central,mountain,2004/2005,paddy,13627,32936,2417
23,Sindhupalchok,2542,central,mountain,2005/2006,paddy,13320,32287,2424
23,Sindhupalchok,2542,central,mountain,2006/2007,paddy,13155,32888,2500
23,Sindhupalchok,2542,central,mountain,2007/2008,paddy,13155,32888,2500
23,Sindhupalchok,2542,central,mountain,2008/2009,paddy,13920,36439,2618
23,Sindhupalchok,2542,central,mountain,2009/2010,paddy,13020,28800,2212
23,Sindhupalchok,2542,central,mountain,2010/2011,paddy,12924,27002,2089
23,Sindhupalchok,2542,central,mountain,2011/2012,paddy,12300,28290,2300
23,Sindhupalchok,2542,central,mountain,2012/2013,paddy,12220,26486,2167
23,Sindhupalchok,2542,central,mountain,2013/2014,paddy,12235,28446,2325
23,Sindhupalchok,2542,central,mountain,2014/2015,paddy,12200,28217,2313
24,Kavrepalanchok,1396,central,hill,2000/2001,paddy,15150,46750,3086
24,Kavrepalanchok,1396,central,hill,2001/2002,paddy,15200,46800,3079
24,Kavrepalanchok,1396,central,hill,2002/2003,paddy,15000,46900,3127
24,Kavrepalanchok,1396,central,hill,2003/2004,paddy,15000,46900,3127
24,Kavrepalanchok,1396,central,hill,2004/2005,paddy,11875,38340,3229
24,Kavrepalanchok,1396,central,hill,2005/2006,paddy,11105,35470,3194
24,Kavrepalanchok,1396,central,hill,2006/2007,paddy,10550,33500,3175
24,Kavrepalanchok,1396,central,hill,2007/2008,paddy,10550,35845,3398
24,Kavrepalanchok,1396,central,hill,2008/2009,paddy,11275,31899,2829
24,Kavrepalanchok,1396,central,hill,2009/2010,paddy,11275,31899,2829
24,Kavrepalanchok,1396,central,hill,2010/2011,paddy,11350,32915,2900
24,Kavrepalanchok,1396,central,hill,2011/2012,paddy,10100,31512,3120
24,Kavrepalanchok,1396,central,hill,2012/2013,paddy,10310,36350,3526
24,Kavrepalanchok,1396,central,hill,2013/2014,paddy,10100,30418,3012
24,Kavrepalanchok,1396,central,hill,2014/2015,paddy,11310,37009,3272
25,Lalitpur,385,central,hill,2000/2001,paddy,4200,19664,4682
25,Lalitpur,385,central,hill,2001/2002,paddy,5044,27540,5460
25,Lalitpur,385,central,hill,2002/2003,paddy,4949,25423,5137
25,Lalitpur,385,central,hill,2003/2004,paddy,4949,25423,5137
25,Lalitpur,385,central,hill,2004/2005,paddy,4655,26068,5600
25,Lalitpur,385,central,hill,2005/2006,paddy,4600,23000,5000
25,Lalitpur,385,central,hill,2006/2007,paddy,4640,22504,4850
25,Lalitpur,385,central,hill,2007/2008,paddy,4650,22645,4870
25,Lalitpur,385,central,hill,2008/2009,paddy,4650,22645,4870
25,Lalitpur,385,central,hill,2009/2010,paddy,4680,21060,4500
25,Lalitpur,385,central,hill,2010/2011,paddy,4650,21390,4600
25,Lalitpur,385,central,hill,2011/2012,paddy,4600,26676,5799
