dcode,dname,area,dev_reg,eco_belt,yearcode,crop_name,amillet,pmillet,ymillet
13,Khotang,1591,easter d,hill,2007/2008,Millet,14511,14000,965
13,Khotang,1591,easter d,hill,2008/2009,Millet,14511,14000,965
13,Khotang,1591,easter d,hill,2009/2010,Millet,14375,14513,1010
13,Khotang,1591,easter d,hill,2010/2011,Millet,16500,19800,1200
13,Khotang,1591,easter d,hill,2011/2012,Millet,21375,23940,1120
13,Khotang,1591,easter d,hill,2012/2013,Millet,21315,24512,1150
13,Khotang,1591,easter d,hill,2013/2014,Millet,21315,23377,1097
13,Khotang,1591,easter d,hill,2014/2015,Millet,21315,23455,1100
14,Udayapur,2063,easter d,hill,2000/2001,Millet,2570,2827,1100
14,Udayapur,2063,easter d,hill,2001/2002,Millet,2500,2550,1020
14,Udayapur,2063,easter d,hill,2002/2003,Millet,2500,2550,1020
14,Udayapur,2063,easter d,hill,2003/2004,Millet,2500,2550,1020
14,Udayapur,2063,easter d,hill,2004/2005,Millet,2525,2777,1100
14,Udayapur,2063,easter d,hill,2005/2006,Millet,2525,2570,1018
14,Udayapur,2063,easter d,hill,2006/2007,Millet,2399,2399,1000
14,Udayapur,2063,easter d,hill,2007/2008,Millet,2570,3341,1300
14,Udayapur,2063,easter d,hill,2008/2009,Millet,2572,3458,1344
14,Udayapur,2063,easter d,hill,2009/2010,Millet,2572,3458,1344
14,Udayapur,2063,easter d,hill,2010/2011,Millet,2575,3965,1540
14,Udayapur,2063,easter d,hill,2011/2012,Millet,2575,4377,1700
14,Udayapur,2063,easter d,hill,2012/2013,Millet,2580,5031,1950
14,Udayapur,2063,easter d,hill,2013/2014,Millet,2580,5000,1938
14,Udayapur,2063,easter d,hill,2014/2015,Millet,2200,2370,1077
15,Saptari,1363,easter d,terai,2000/2001,Millet,300,300,1000
15,Saptari,1363,easter d,terai,2001/2002,Millet,300,300,1000
15,Saptari,1363,easter d,terai,2002/2003,Millet,300,300,1000
15,Saptari,1363,easter d,terai,2003/2004,Millet,300,300,1000
15,Saptari,1363,easter d,terai,2004/2005,Millet,300,300,1000
15,Saptari,1363,easter d,terai,2005/2006,Millet,300,300,1000
15,Saptari,1363,easter d,terai,2006/2007,Millet,300,300,1000
15,Saptari,1363,easter d,terai,2007/2008,Millet,300,300,1000
15,Saptari,1363,easter d,terai,2008/2009,Millet,300,300,1000
15,Saptari,1363,easter d,terai,2009/2010,Millet,250,250,1000
15,Saptari,1363,easter d,terai,2010/2011,Millet,250,250,1000
15,Saptari,1363,easter d,terai,2011/2012,Millet,250,375,1500
15,Saptari,1363,easter d,terai,2012/2013,Millet,250,215,860
15,Saptari,1363,easter d,terai,2013/2014,Millet,250,215,860
15,Saptari,1363,easter d,terai,2014/2015,Millet,200,260,1300
16,Siraha,1188,easter d,terai,2000/2001,Millet,1200,1200,1000
16,Siraha,1188,easter d,terai,2001/2002,Millet,1000,1000,1000
16,Siraha,1188,easter d,terai,2002/2003,Millet,1000,1000,1000
16,Siraha,1188,easter d,terai,2003/2004,Millet,1000,1000,1000
16,Siraha,1188,easter d,terai,2004/2005,Millet,1200,1200,1000
16,Siraha,1188,easter d,terai,2005/2006,Millet,1000,900,900
16,Siraha,1188,easter d,terai,2006/2007,Millet,1200,1200,1000
16,Siraha,1188,easter d,terai,2007/2008,Millet,800,800,1000
16,Siraha,1188,easter d,terai,2008/2009,Millet,800,800,1000
16,Siraha,1188,easter d,terai,2009/2010,Millet,700,760,1086
16,Siraha,1188,easter d,terai,2010/2011,Millet,700,700,1000
16,Siraha,1188,easter d,terai,2011/2012,Millet,600,600,1000
16,Siraha,1188,easter d,terai,2012/2013,Millet,645,574,890
16,Siraha,1188,easter d,terai,2013/2014,Millet,650,575,885
16,Siraha,1188,easter d,terai,2014/2015,Millet,640,640,1000
17,Dhanusa,1180,central,terai,2000/2001,Millet,500,660,1320
17,Dhanusa,1180,central,terai,2001/2002,Millet,450,500,1111
17,Dhanusa,1180,central,terai,2002/2003,Millet,425,467,1099
17,Dhanusa,1180,central,terai,2003/2004,Millet,425,467,1099
17,Dhanusa,1180,central,terai,2004/2005,Millet,410,451,1100
17,Dhanusa,1180,central,terai,2005/2006,Millet,400,440,1100
